trace,run,timestamp_s,cpu_percent,thread_count,memory_footprint_mb
native_mb_05min,4,90.98412616600001,50.332033188,14.0,285.67308044433594
native_mb_05min,4,91.99077975,57.541442044,13.0,285.61058044433594
native_mb_05min,4,93.05131675000001,62.865396569,13.0,285.61058044433594
native_mb_05min,4,94.08737033300001,61.359763452,13.0,285.61058044433594
native_mb_05min,4,95.095607541,52.924794037,13.0,285.61058044433594
native_mb_05min,4,96.1016915,46.856303366,14.0,285.73558044433594
native_mb_05min,4,97.10081366600001,50.949183415,14.0,285.75120544433594
native_mb_05min,4,98.12988845800001,48.092935752,14.0,285.90745544433594
native_mb_05min,4,99.208732791,52.909037464,14.0,285.73558044433594
native_mb_05min,4,100.257054166,55.460087582,14.0,285.73558044433594
native_mb_05min,4,101.28166566600001,60.77256352,13.0,285.64183044433594
native_mb_05min,4,102.345293541,57.104361202,13.0,285.65745544433594
native_mb_05min,4,103.38392308300001,54.039919374,13.0,285.64183044433594
native_mb_05min,4,104.452783916,51.48080972,13.0,285.65745544433594
native_mb_05min,4,105.498898541,47.228565202,13.0,285.64183044433594
native_mb_05min,4,106.49682158300001,47.872257445,13.0,285.65745544433594
native_mb_05min,4,107.491355833,49.744510345,13.0,285.65745544433594
native_mb_05min,4,108.54799525000001,56.089457421,13.0,285.64183044433594
native_mb_05min,4,109.58497187500001,61.570767778,13.0,285.65745544433594
native_mb_05min,4,110.59487225000001,60.27432567,13.0,285.65745544433594
native_mb_05min,4,111.59879766600001,54.356784946,13.0,285.64183044433594
native_mb_05min,4,112.60710345800001,48.255844025,13.0,285.65745544433594
native_mb_05min,4,113.63259583300001,49.169453668,13.0,285.64183044433594
native_mb_05min,4,114.64004187500001,49.767848087,13.0,285.65745544433594
native_mb_05min,4,115.63744708300001,50.763264253,13.0,285.65745544433594
native_mb_05min,4,116.65713679100001,55.270719721,13.0,285.64183044433594
native_mb_05min,4,117.69767508300001,60.197491807,13.0,285.65745544433594
native_mb_05min,4,118.69937525,57.528876952,13.0,285.65745544433594
native_mb_05min,4,119.700371333,52.464597041,13.0,285.65745544433594
native_mb_05min,4,120.75400704100001,50.308713298,13.0,285.65745544433594
native_mb_05min,4,121.83251366600001,46.016348155,13.0,285.64183044433594
native_mb_05min,4,122.854731916,47.772031908,13.0,285.65745544433594
native_mb_05min,4,123.889585666,51.929340165,13.0,285.64183044433594
native_mb_05min,4,124.95571916600001,58.266059557,13.0,285.65745544433594
native_mb_05min,4,125.986388708,61.999851375,13.0,285.65745544433594
native_mb_05min,4,127.05158604100001,57.440449032,13.0,285.65745544433594
native_mb_05min,4,128.106056666,50.412723771,13.0,285.64183044433594
native_mb_05min,4,129.116460875,48.4275862,13.0,285.65745544433594
native_mb_05min,4,130.1259865,45.914053562,13.0,285.65745544433594
native_mb_05min,4,131.14091637500002,48.321320418,12.0,285.57933044433594
native_mb_05min,4,132.187791916,53.645144159,12.0,285.59495544433594
native_mb_05min,4,133.186548791,54.521870418,12.0,285.59495544433594
native_mb_05min,4,134.25439275000002,61.041341603,12.0,285.57933044433594
native_mb_05min,4,135.277037291,57.616014557,12.0,285.59495544433594
native_mb_05min,4,136.342480833,51.976182015,12.0,285.57933044433594
native_mb_05min,4,137.384949541,49.238119225,12.0,285.59495544433594
native_mb_05min,4,138.46071733300002,48.337817941,12.0,285.57933044433594
native_mb_05min,4,139.477440916,50.602930597,12.0,285.59495544433594
native_mb_05min,4,140.492926291,53.141464507,13.0,285.67308044433594
native_mb_05min,4,141.488060958,55.364233571,13.0,285.68870544433594
native_mb_05min,4,142.556729625,63.66465044,13.0,285.68870544433594
native_mb_05min,4,143.58312270800002,57.343795755,13.0,285.67308044433594
native_mb_05min,4,144.60761491600002,50.945589834,13.0,285.68870544433594
native_mb_05min,4,145.638309916,49.05610837,13.0,285.68870544433594
native_mb_05min,4,146.63852025,48.266360832,13.0,285.68870544433594
native_mb_05min,4,147.633494208,49.842764806,13.0,285.67308044433594
native_mb_05min,4,148.707348,50.291387998,13.0,285.68870544433594
native_mb_05min,4,149.758099791,57.395575513,13.0,285.68870544433594
native_mb_05min,4,150.809436916,62.407888607,13.0,285.68870544433594
native_mb_05min,4,151.83744083300002,57.451270282,13.0,285.68870544433594
