trace,run,timestamp_s,gpu_device_util_percent,gpu_in_use_sys_mem_mb
native_mb_02min,4,88.697176,46.0,260.75
native_mb_02min,4,89.704311,46.0,260.75
native_mb_02min,4,90.714087,46.0,260.75
native_mb_02min,4,91.717988,46.0,260.75
native_mb_02min,4,92.72163800000001,46.0,260.75
native_mb_02min,4,93.72882100000001,47.0,260.765625
native_mb_02min,4,94.73201200000001,48.0,260.765625
native_mb_02min,4,95.739524,48.0,260.9375
native_mb_02min,4,96.746014,69.0,260.953125
native_mb_02min,4,97.751305,61.0,261.203125
native_mb_02min,4,98.76185000000001,63.0,260.953125
native_mb_02min,4,99.773983,60.0,260.9375
native_mb_02min,4,100.785436,52.0,260.953125
native_mb_02min,4,101.79397800000001,56.0,260.75
native_mb_02min,4,102.80421600000001,53.0,260.75
native_mb_02min,4,103.81156600000001,47.0,260.75
native_mb_02min,4,104.82235100000001,44.0,256.78125
native_mb_02min,4,105.829919,59.0,260.75
native_mb_02min,4,106.838425,60.0,260.75
native_mb_02min,4,107.846078,61.0,260.75
native_mb_02min,4,108.85559900000001,59.0,260.765625
native_mb_02min,4,109.85968600000001,59.0,260.765625
native_mb_02min,4,110.86847200000001,58.0,261.015625
native_mb_02min,4,111.87501,59.0,260.765625
native_mb_02min,4,112.88450300000001,59.0,260.765625
native_mb_02min,4,113.89274700000001,59.0,260.75
native_mb_02min,4,114.905224,58.0,260.765625
native_mb_02min,4,115.912817,55.0,260.953125
native_mb_02min,4,116.923895,69.0,261.109375
native_mb_02min,4,117.93242000000001,77.0,260.9375
native_mb_02min,4,118.938253,54.0,260.9375
native_mb_02min,4,119.953697,53.0,266.53125
native_mb_02min,5,0.0007170000000000001,42.0,216.78125
native_mb_02min,5,1.011404,37.0,143.140625
native_mb_02min,5,2.022058,0.0,87.125
native_mb_02min,5,3.032109,48.0,292.765625
native_mb_02min,5,4.041625000000001,55.0,265.25
native_mb_02min,5,5.052664,54.0,266.8125
native_mb_02min,5,6.064157000000001,53.0,265.234375
native_mb_02min,5,7.06909,37.0,295.6875
native_mb_02min,5,8.075002000000001,41.0,261.1875
native_mb_02min,5,9.082633000000001,59.0,261.203125
native_mb_02min,5,10.087004,57.0,261.4375
native_mb_02min,5,11.092856000000001,58.0,261.5625
native_mb_02min,5,12.102823,67.0,261.203125
native_mb_02min,5,13.109923,62.0,261.203125
native_mb_02min,5,14.119305,73.0,261.453125
native_mb_02min,5,15.12555,66.0,261.1875
native_mb_02min,5,16.135653,64.0,261.203125
native_mb_02min,5,17.142801000000002,75.0,261.390625
native_mb_02min,5,18.152150000000002,68.0,261.390625
native_mb_02min,5,19.159433,65.0,261.203125
native_mb_02min,5,20.169053,76.0,261.390625
native_mb_02min,5,21.176977,61.0,261.1875
native_mb_02min,5,22.181699000000002,46.0,261.53125
native_mb_02min,5,23.18851,46.0,261.1875
native_mb_02min,5,24.196588000000002,46.0,261.203125
native_mb_02min,5,25.199229000000003,46.0,261.203125
native_mb_02min,5,26.2088,47.0,261.453125
native_mb_02min,5,27.21254,47.0,261.453125
native_mb_02min,5,28.220136,49.0,261.375
native_mb_02min,5,29.229251,54.0,261.375
native_mb_02min,5,30.236176,55.0,261.203125
native_mb_02min,5,31.244238000000003,55.0,257.234375
native_mb_02min,5,32.249848,54.0,261.203125
native_mb_02min,5,33.255285,54.0,261.1875
native_mb_02min,5,34.26126,55.0,261.203125
native_mb_02min,5,35.269363000000006,54.0,261.203125
native_mb_02min,5,36.276655000000005,54.0,261.1875
native_mb_02min,5,37.282813000000004,53.0,261.203125
native_mb_02min,5,38.291013,53.0,261.1875
native_mb_02min,5,39.299921000000005,52.0,257.65625
native_mb_02min,5,40.305343,52.0,261.1875
native_mb_02min,5,41.31452,53.0,261.203125
native_mb_02min,5,42.319315,52.0,261.203125
native_mb_02min,5,43.32316,52.0,261.203125
native_mb_02min,5,44.329764000000004,52.0,261.203125
native_mb_02min,5,45.341946,52.0,261.1875
native_mb_02min,5,46.352336,52.0,261.203125
native_mb_02min,5,47.358417,52.0,261.203125
native_mb_02min,5,48.372335,51.0,261.203125
native_mb_02min,5,49.379675000000006,52.0,261.203125
native_mb_02min,5,50.387292,50.0,261.203125
native_mb_02min,5,51.391316,51.0,261.203125
native_mb_02min,5,52.400927,50.0,261.4375
native_mb_02min,5,53.412463,51.0,261.203125
